Page Title,Paragraph
Diabetes,An official website of the United States government
Diabetes,Here’s how you know
Diabetes,Official websites use .gov A.govwebsite belongs to an official government organization in the United States.
Diabetes,"Secure .gov websites use HTTPSAlock(Lock Locked padlock icon) orhttps://means you’ve safely connected to the .gov website. Share sensitive information only on official, secure websites."
Diabetes,"Diabetes, also known as diabetes mellitus, is a disease in which yourblood glucose, or blood sugar, levels are too high. Glucose is your body's main source of energy. Your body can make glucose, but it also comes from the food you eat. Insulin is ahormonemade by your pancreas. Insulin helps move glucose from your bloodstream into your cells, where it can be used for energy."
Diabetes,"If you have diabetes, your body can't make insulin, can't use insulin as well as it should, or both. Too much glucose stays in your blood and doesn't reach your cells. This can cause glucose levels to get too high. Over time, high blood glucose levels can lead toserious health conditions. But you can take steps to manage your diabetes and try to prevent these health problems."
Diabetes,There are different types of diabetes:
Diabetes,The different types of diabetes have different causes:
Diabetes,The different types of diabetes have different risk factors:
Diabetes,The symptoms of diabetes may include:
Diabetes,"But it's important to know that your symptoms may vary, depending on which type you have:"
Diabetes,"To find out if you have diabetes, your health care provider will use one or moreglucose blood tests. There are several types, including the A1C test."
Diabetes,Treatment for diabetes involves managing your blood glucose levels:
Diabetes,Checking your blood glucose levels is also an important part of managing your diabetes. Ask your provider about the best way to check your blood glucose level and how often you should check it.
Diabetes,Type 1 diabetescan't be prevented.
Diabetes,"You may be able to delay or preventtype 2 diabetesthrough the same lifestyle changes that are used to manage diabetes (eating a healthy diet, staying at a healthy weight, and getting regular physical activity). These lifestyle changes may also help preventgestational diabetes."
Diabetes,NIH: National Institute of Diabetes and Digestive and Kidney Diseases
Diabetes,The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.
